iter	Passed	Remaining
180	730	3303
181	737	3314
182	739	3301
183	741	3286
184	742	3271
185	751	3289
186	754	3279
187	756	3266
188	764	3281
189	766	3267
190	768	3255
191	770	3244
192	778	3254
193	780	3241
194	781	3227
195	783	3213
196	791	3228
197	793	3214
198	795	3201
199	797	3188
200	803	3194
201	805	3182
202	807	3169
203	808	3156
204	811	3146
205	812	3132
206	814	3120
207	815	3106
208	818	3095
209	826	3110
210	828	3099
211	830	3088
212	841	3108
213	843	3096
214	844	3084
215	854	3101
216	856	3090
217	859	3082
218	868	3098
219	873	3096
220	876	3087
221	885	3102
222	887	3090
223	889	3082
224	892	3073
225	905	3100
226	908	3094
227	910	3084
228	920	3098
229	922	3087
230	924	3079
231	934	3092
232	936	3082
233	938	3071
234	947	3084
235	949	3074
236	952	3066
237	961	3077
238	963	3067
239	966	3061
240	969	3052
241	973	3050
242	976	3041
243	984	3050
244	988	3045
245	996	3054
246	999	3047
247	1001	3035
248	1003	3027
249	1012	3038
250	1015	3029
251	1025	3042
252	1028	3036
253	1031	3028
254	1034	3022
255	1036	3011
256	1038	3001
257	1045	3008
258	1048	2998
259	1050	2989
260	1052	2979
261	1067	3008
262	1080	3028
263	1082	3018
264	1084	3009
265	1087	2999
266	1097	3012
267	1100	3004
268	1114	3028
269	1116	3019
270	1120	3014
271	1132	3031
272	1134	3021
273	1137	3013
274	1138	3002
275	1140	2990
276	1141	2980
277	1144	2971
278	1151	2974
279	1152	2964
280	1154	2953
281	1155	2943
282	1157	2933
283	1162	2929
284	1163	2919
285	1165	2908
286	1167	2900
287	1169	2891
288	1171	2882
289	1173	2872
290	1175	2863
291	1176	2853
292	1187	2864
293	1189	2855
294	1190	2846
295	1192	2836
296	1197	2835
297	1200	2826
298	1201	2817
299	1202	2806
300	1205	2798
301	1211	2799
302	1213	2791
303	1214	2781
304	1216	2771
305	1218	2763
306	1224	2764
307	1226	2755
308	1227	2745
309	1229	2736
310	1231	2727
311	1237	2728
312	1238	2719
313	1240	2709
314	1242	2701
315	1243	2692
316	1249	2691
317	1250	2682
318	1252	2673
319	1254	2665
320	1260	2666
321	1262	2657
322	1263	2648
323	1265	2640
324	1267	2632
325	1275	2636
326	1277	2628
327	1278	2619
328	1281	2613
329	1288	2616
330	1291	2610
331	1293	2602
332	1295	2594
333	1302	2596
334	1305	2591
335	1307	2583
336	1309	2576
337	1311	2568
338	1313	2560
339	1315	2553
340	1316	2544
341	1324	2547
342	1325	2539
343	1327	2531
344	1328	2523
345	1330	2515
346	1336	2514
347	1337	2506
348	1339	2498
349	1340	2489
350	1342	2482
351	1348	2481
352	1349	2474
353	1351	2466
354	1352	2457
355	1354	2450
356	1357	2444
357	1359	2437
358	1360	2428
359	1361	2420
360	1363	2413
361	1366	2407
362	1368	2401
363	1369	2393
364	1371	2386
365	1373	2378
366	1374	2370
367	1376	2363
368	1378	2357
369	1380	2350
370	1382	2343
371	1389	2346
372	1391	2339
373	1393	2332
374	1395	2325
375	1396	2318
376	1399	2312
377	1403	2308
378	1405	2302
379	1466	2392
380	1468	2385
381	1470	2378
382	1483	2390
383	1485	2383
384	1487	2376
385	1489	2369
386	1492	2363
387	1494	2356
388	1495	2349
389	1497	2342
390	1499	2335
391	1501	2328
392	1503	2322
393	1507	2318
394	1509	2311
395	1511	2305
396	1513	2298
397	1515	2292
398	1518	2287
399	1520	2280
400	1521	2273
401	1523	2266
402	1527	2262
403	1532	2260
404	1534	2254
405	1535	2247
406	1537	2240
407	1544	2240
408	1545	2233
409	1547	2226
410	1549	2220
411	1552	2215
412	1557	2213
413	1558	2206
414	1560	2199
415	1561	2192
416	1563	2186
417	1566	2180
418	1570	2177
419	1571	2170
420	1573	2164
421	1575	2157
422	1578	2153
423	1581	2148
424	1583	2142
425	1584	2135
426	1586	2128
427	1588	2122
428	1591	2118
429	1593	2112
430	1595	2106
431	1597	2100
432	1599	2093
433	1601	2088
434	1603	2082
435	1604	2076
436	1606	2069
437	1608	2063
438	1610	2058
439	1615	2055
440	1616	2049
441	1618	2042
442	1620	2037
443	1622	2031
444	1628	2031
445	1630	2025
446	1632	2020
447	1634	2014
448	1637	2009
449	1639	2004
450	1641	1997
451	1642	1991
452	1644	1985
453	1646	1980
454	1651	1977
455	1652	1971
456	1653	1964
457	1655	1959
458	1657	1954
459	1664	1953
460	1665	1947
461	1667	1941
462	1669	1936
463	1671	1931
464	1677	1930
465	1679	1924
466	1680	1918
467	1682	1912
468	1684	1907
469	1690	1906
470	1691	1900
471	1693	1894
472	1695	1888
473	1697	1884
474	1699	1878
475	1701	1872
476	1702	1867
477	1704	1861
478	1706	1856
479	1709	1852
480	1711	1846
481	1713	1841
482	1714	1835
483	1716	1829
484	1722	1829
485	1724	1823
486	1726	1818
487	1727	1812
488	1729	1807
489	1735	1806
490	1737	1801
491	1739	1795
492	1740	1790
493	1745	1787
494	1747	1782
495	1749	1777
496	1750	1772
497	1752	1766
498	1755	1762
499	1758	1758
500	1760	1753
501	1761	1747
502	1763	1742
503	1764	1736
504	1766	1731
505	1768	1726
506	1769	1720
507	1771	1715
508	1773	1710
509	1775	1705
510	1777	1701
511	1779	1695
512	1780	1690
513	1783	1685
514	1784	1680
515	1788	1677
516	1790	1672
517	1792	1667
518	1793	1662
519	1796	1658
520	1801	1656
521	1803	1651
522	1804	1646
523	1806	1641
524	1808	1636
525	1813	1634
526	1815	1629
527	1817	1624
528	1818	1619
529	1820	1614
530	1823	1610
531	1827	1607
532	1829	1603
533	1832	1599
534	1835	1595
535	1841	1594
536	1843	1589
537	1844	1584
538	1846	1579
539	1855	1580
540	1856	1575
541	1858	1570
542	1860	1565
543	1863	1561
544	1867	1559
545	1869	1554
546	1872	1550
547	1874	1546
548	1881	1545
549	1883	1540
550	1884	1535
551	1886	1531
552	1889	1526
553	1892	1523
554	1894	1519
555	1896	1514
556	1898	1509
557	1905	1509
558	1906	1504
559	1908	1499
560	1910	1494
561	1912	1490
562	1918	1488
563	1919	1484
564	1921	1479
565	1922	1474
566	1924	1469
567	1928	1466
568	1930	1462
569	1932	1457
570	1933	1452
571	1935	1448
572	1944	1448
573	1946	1444
574	1947	1439
575	1956	1440
576	1958	1436
577	1961	1431
578	1972	1434
579	1973	1429
580	1978	1427
581	1980	1422
582	1982	1417
583	1984	1413
584	1986	1409
585	1991	1406
586	1993	1402
587	1995	1398
588	1996	1393
589	1998	1388
590	2002	1385
591	2004	1381
592	2005	1376
593	2008	1372
594	2009	1367
595	2012	1363
596	2013	1359
597	2015	1354
598	2016	1349
599	2018	1345
600	2021	1341
601	2024	1338
602	2026	1333
603	2027	1329
604	2029	1324
605	2032	1321
606	2036	1318
607	2038	1314
608	2040	1310
609	2042	1305
610	2046	1302
611	2048	1298
612	2050	1294
613	2051	1289
614	2053	1285
615	2055	1281
616	2057	1276
617	2058	1272
618	2059	1267
619	2061	1263
620	2063	1259
621	2066	1255
622	2068	1251
623	2069	1247
624	2071	1242
625	2074	1239
626	2078	1236
627	2080	1232
628	2081	1227
629	2083	1223
630	2086	1220
631	2092	1218
632	2093	1213
633	2095	1209
634	2096	1205
635	2098	1201
636	2104	1199
637	2106	1195
638	2107	1190
639	2109	1186
640	2111	1182
641	2113	1178
642	2116	1175
643	2118	1171
644	2119	1166
645	2121	1162
646	2124	1158
647	2129	1156
648	2131	1152
649	2132	1148
650	2134	1144
651	2136	1140
652	2139	1136
653	2141	1132
654	2142	1128
655	2145	1124
656	2150	1122
657	2152	1118
658	2154	1114
659	2156	1110
660	2162	1109
661	2165	1105
662	2166	1101
663	2168	1097
664	2170	1093
665	2172	1089
666	2175	1086
667	2177	1082
668	2179	1078
669	2181	1074
670	2185	1071
671	2188	1068
672	2189	1064
673	2193	1060
674	2200	1059
675	2201	1055
676	2203	1051
677	2206	1048
678	2208	1044
679	2210	1040
680	2212	1036
681	2213	1032
682	2218	1029
683	2221	1026
684	2222	1022
685	2239	1025
686	2241	1021
687	2243	1017
688	2251	1016
689	2253	1012
690	2256	1009
691	2267	1009
692	2273	1007
693	2275	1003
694	2284	1002
695	2291	1001
696	2294	997
697	2295	993
698	2297	989
699	2300	985
700	2303	982
701	2306	979
702	2308	975
703	2310	971
704	2312	967
705	2315	964
706	2318	960
707	2319	956
708	2321	952
709	2324	949
710	2326	945
711	2329	942
712	2330	938
713	2332	934
714	2335	930
715	2337	926
716	2338	923
717	2340	919
718	2341	915
719	2346	912
720	2349	909
721	2350	905
722	2352	901
723	2354	897
724	2361	895
725	2363	891
726	2364	888
727	2366	884
728	2375	882
729	2377	879
730	2379	875
731	2384	873
732	2387	869
733	2389	865
734	2390	862
735	2392	858
736	2397	855
737	2400	852
738	2401	848
739	2403	844
740	2407	841
741	2413	839
742	2414	835
743	2416	831
744	2418	827
745	2421	824
746	2424	821
747	2425	817
748	2427	813
749	2430	810
750	2433	806
751	2436	803
752	2438	799
753	2439	796
754	2441	792
755	2444	789
756	2447	785
757	2449	781
758	2451	778
759	2453	774
760	2457	771
761	2459	768
762	2460	764
763	2462	760
764	2464	757
765	2468	754
766	2470	750
767	2472	746
768	2474	743
769	2483	741
770	2485	738
771	2487	734
772	2489	731
773	2495	728
774	2496	724
775	2498	721
776	2500	717
777	2503	714
778	2507	711
779	2509	707
780	2510	704
781	2512	700
782	2516	697
783	2520	694
784	2522	690
785	2524	687
786	2526	683
787	2532	681
788	2534	677
789	2535	674
790	2537	670
791	2540	667
792	2546	664
793	2548	661
794	2549	657
795	2553	654
796	2556	651
797	2557	647
798	2559	643
799	2561	640
800	2563	636
801	2569	634
802	2570	630
803	2572	627
804	2574	623
805	2576	620
806	2578	616
807	2581	613
808	2584	610
809	2586	606
810	2588	603
811	2590	599
812	2591	596
813	2595	593
814	2599	590
815	2601	586
816	2603	583
817	2604	579
818	2612	577
819	2613	573
820	2615	570
821	2617	566
822	2619	563
823	2622	560
824	2623	556
825	2625	553
826	2635	551
827	2638	548
828	2654	547
829	2670	546
830	2685	546
831	2702	545
832	2705	542
833	2713	540
834	2715	536
835	2717	533
836	2720	529
837	2724	526
838	2726	523
839	2728	519
840	2731	516
841	2737	513
842	2742	510
843	2744	507
844	2747	503
845	2754	501
846	2757	498
847	2759	494
848	2768	492
849	2771	489
850	2773	485
851	2780	483
852	2782	479
853	2786	476
854	2788	472
855	2790	469
856	2793	466
857	2803	463
858	2808	460
859	2818	458
860	2828	456
861	2830	453
862	2832	449
863	2835	446
864	2837	442
865	2839	439
866	2842	435
867	2843	432
868	2852	429
869	2854	426
870	2856	423
871	2865	420
872	2867	417
873	2869	413
874	2871	410
875	2873	406
876	2876	403
877	2879	400
878	2881	396
879	2883	393
880	2885	389
881	2887	386
882	2892	383
883	2894	379
884	2895	376
885	2899	373
886	2900	369
887	2906	366
888	2908	363
889	2910	359
890	2918	357
891	2920	353
892	2925	350
893	2935	348
894	2939	344
895	2987	346
896	2989	343
897	2991	339
898	2993	336
899	2995	332
900	2997	329
901	3005	326
902	3007	323
903	3012	319
904	3014	316
905	3016	312
906	3019	309
907	3021	306
908	3023	302
909	3067	303
910	3070	299
911	3072	296
912	3084	293
913	3086	290
914	3089	286
915	3096	283
916	3098	280
917	3100	276
918	3102	273
919	3110	270
920	3112	266
921	3114	263
922	3116	259
923	3118	256
924	3119	252
925	3123	249
926	3125	246
927	3127	242
928	3128	239
929	3132	235
930	3134	232
931	3137	228
932	3141	225
933	3143	222
934	3144	218
935	3151	215
936	3153	212
937	3155	208
938	3161	205
939	3164	201
940	3165	198
941	3168	195
942	3170	191
943	3178	188
944	3185	185
945	3188	182
946	3191	178
947	3193	175
948	3196	171
949	3199	168
950	3203	165
951	3207	161
952	3209	158
953	3213	154
954	3215	151
955	3221	148
956	3223	144
957	3225	141
958	3228	138
959	3233	134
960	3235	131
961	3237	127
962	3240	124
963	3247	121
964	3249	117
965	3251	114
966	3260	111
967	3261	107
968	3265	104
969	3267	101
970	3275	97
971	3279	94
972	3281	91
973	3291	87
974	3293	84
975	3295	81
976	3304	77
977	3307	74
978	3309	70
979	3316	67
980	3318	64
981	3320	60
982	3322	57
983	3326	54
984	3329	50
985	3330	47
986	3339	43
987	3341	40
988	3343	37
989	3351	33
990	3352	30
991	3354	27
992	3357	23
993	3359	20
994	3365	16
995	3367	13
996	3369	10
997	3378	6
998	3379	3
999	3381	0
