iter	Passed	Remaining
291	658	1595
292	659	1592
293	661	1589
294	663	1585
295	664	1581
296	666	1576
297	669	1576
298	671	1573
299	672	1570
300	674	1566
301	675	1561
302	677	1558
303	678	1553
304	680	1551
305	683	1550
306	685	1547
307	687	1544
308	689	1542
309	691	1540
310	694	1537
311	698	1540
312	701	1539
313	702	1535
314	705	1534
315	707	1530
316	708	1527
317	710	1523
318	713	1523
319	715	1520
320	717	1517
321	718	1513
322	721	1512
323	723	1510
324	727	1510
325	729	1507
326	731	1504
327	733	1502
328	734	1498
329	736	1495
330	738	1492
331	743	1495
332	746	1494
333	748	1493
334	750	1490
335	755	1493
336	759	1494
337	761	1492
338	763	1489
339	765	1486
340	768	1485
341	770	1482
342	774	1483
343	776	1480
344	778	1477
345	780	1474
346	785	1477
347	791	1483
348	794	1482
349	799	1484
350	804	1486
351	806	1484
352	808	1481
353	810	1478
354	812	1476
355	815	1475
356	818	1473
357	824	1479
358	826	1476
359	829	1474
360	831	1471
361	836	1474
362	838	1471
363	840	1468
364	842	1465
365	843	1461
366	845	1458
367	849	1459
368	851	1456
369	853	1453
370	855	1450
371	857	1447
372	858	1443
373	860	1440
374	863	1439
375	866	1438
376	868	1435
377	870	1432
378	871	1428
379	873	1425
380	875	1422
381	880	1423
382	882	1421
383	885	1420
384	888	1418
385	889	1415
386	892	1413
387	895	1412
388	897	1409
389	899	1407
390	901	1404
391	903	1400
392	904	1397
393	906	1394
394	910	1394
395	912	1391
396	914	1388
397	915	1385
398	917	1382
399	919	1378
400	921	1375
401	922	1372
402	927	1373
403	928	1370
404	930	1367
405	932	1364
406	934	1361
407	936	1358
408	938	1355
409	940	1354
410	942	1350
411	944	1347
412	946	1344
413	947	1341
414	949	1338
415	951	1335
416	953	1333
417	955	1330
418	957	1327
419	959	1324
420	960	1321
421	962	1318
422	964	1315
423	966	1313
424	970	1313
425	972	1310
426	974	1307
427	975	1304
428	977	1300
429	979	1298
430	981	1295
431	983	1292
432	985	1290
433	987	1287
434	989	1284
435	990	1281
436	992	1278
437	994	1276
438	996	1273
439	1001	1274
440	1003	1271
441	1005	1268
442	1006	1265
443	1008	1263
444	1012	1262
445	1016	1262
446	1018	1259
447	1020	1256
448	1021	1253
449	1024	1252
450	1026	1249
451	1029	1247
452	1031	1245
